4 arm (kharwali)	4 Arm (Kharwali)
virpur	Virpur
virudampattu	Virudampattu
virudhachalam	Virudhachalam
virudunagar	Virudunagar
virugambakkam	Virugambakkam
visakhapatnam	Visakhapatnam
visavadar	Vīsāvadar
visharam	Vishāram
visnagar	Visnagar
visrampuree	Visrampuree
viswanatham	Viswanatham
vite	Vite
vithal udyognagar ina	Vithal Udyognagar INA
vittal	Vittal
vizianagaram	Vizianagaram
vovale	Vovale
vriddhachalam	Vriddhāchalam
vrindavan	Vrindāvan
vubatalai	Vubatalai
vuyyuru	Vuyyūru
vyara	Vyāra
vypin	Vypīn
wadgaon	Wadgaon
wadgaon kolhati	Wadgaon Kolhati
wadgaon sarhad	Wadgaon Sarhad
wadgaon tejan	Wadgaon Tejan
wadi	Wādi
wadi ratnagiri	Wadi Ratnagiri
wadrupnagar	Wādrupnagar
waghai	Waghāi
waghoda	Wāghoda
wai	Wai
wail	Wail
wajegaon	Wājegaon
walajabad	Wālājābād
walajapet	Walajapet
walhur	Walhur
walni	Walni
waluj buzurg	Waluj Buzurg
walwadi	Walwadi
wanadongri	Wānādongri
wangjing	Wāngjing
wangoi	Wangoi
wani	Wani
wankaner	Wānkāner
wanparti	Wanparti
warangal	Warangal
waraseoni	Wārāseonī
wardha	Wardha
wardhamna	Wardhāmna
wari	Wāri
waris aliganj	Wāris Alīganj
warora	Warora
warud	Warud
washim	Wāshīm
watargam	Watargām
wazirganj	Wazīrganj
weir	Weir
wellington	Wellington
west bunghmun	West Bunghmun
williamnagar	Williamnagar
wokha	Wokha
worthi	Worthi
xeldem	Xeldem
yadagirigutta	Yadagirigutta
yadgir	Yadgir
yairipok	Yairipok
yamjal	Yamjāl
yamuna nagar	Yamuna Nagar
yamuna vihar	Yamuna Vihar
yanam	Yanam
yanamalakuduru	Yanamalakuduru
yarada	Yārāda
yaripur	Yāripur
yaval	Yāval
yavatmal	Yavatmāl
yechagam	Yechagām
yehiapur	Yehiapur
yelagiri	Yelagiri
yelahanka	Yelahanka
yelandur	Yelandūr
yelbarga	Yelbarga
yellandu	Yellandu
yellapur	Yellāpur
yellareddi	Yellāreddi
yelur	Yelur
yenugonda	Yenugonda
yenumalapalle	Yenumalapalle
yeola	Yeola
yercaud	Yercaud
yerkhera	Yerkhera
yerrabalem	Yerrabalem
yingkiong	Yingkiong
yol	Yol
yol cantonment	Yol Cantonment
zafarabad	Zafarābād
zahirabad	Zahirābād
zaidpur	Zaidpur
zamania	Zamānia
zawlnuam	Zawlnuam
zerakpur	Zerakpur
ziauddin pur	Ziauddin Pur
zira	Zira
ziro	Ziro
zotirpada	Zotirpada
zunheboto	Zunheboto
